
**`@when` data outside of date coverage range of parent _FRUS_ volume**

Outlier data in `@when` | Frequency | Issue | Date Entries | Volume Coverage Dates | URIs
 1944-09-23 | 2 | `@when` outside of volume date range | <ul><li>September 23, 1944</li><li>September 23, 1944</li></ul> | <ul><li>1945</li><li>1945</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1945v02/d765</li><li>https://history.state.gov/historicaldocuments/frus1945v02/d766</li></ul>
 1944-12-23 | 2 | `@when` outside of volume date range | <ul><li>December 23, 1944</li><li>December 23, 1944</li></ul> | <ul><li>1945</li><li>1945</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1945v08/d508</li><li>https://history.state.gov/historicaldocuments/frus1945v09/d950</li></ul>
 1944-12-30 | 2 | `@when` outside of volume date range | <ul><li>December 30, 1944</li><li>December 30, 1944—8 a.m.</li></ul> | <ul><li>1945</li><li>1945</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1945v08/d509</li><li>https://history.state.gov/historicaldocuments/frus1945v06/d920</li></ul>
 1945-01-03T16:00:00 | 2 | `@when` outside of volume date range | <ul><li>January 3, 1945—4 p.m.</li><li>January 3, 1945 [1946]—4 p.m.</li></ul> | <ul><li>1944</li><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v03/d882</li><li>https://history.state.gov/historicaldocuments/frus1946v09/d7</li></ul>
 1945-01-05T19:00:00 | 2 | `@when` outside of volume date range | <ul><li>January 5, 1945—7 p.m.</li><li>January 5, 1945—7 p.m.</li></ul> | <ul><li>1944</li><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v03/d572</li><li>https://history.state.gov/historicaldocuments/frus1944v03/d885</li></ul>
 1945-01-16 | 2 | `@when` outside of volume date range | <ul><li>January 16, 1945</li><li>16 January 1945 [1946]</li></ul> | <ul><li>1943</li><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d570</li><li>https://history.state.gov/historicaldocuments/frus1946v09/d136</li></ul>
 1945-01-17 | 2 | `@when` outside of volume date range | <ul><li>January 17, 1945</li><li>January 17, 1945—6 p.m.</li></ul> | <ul><li>1944</li><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v07/d989</li><li>https://history.state.gov/historicaldocuments/frus1944v05/d1130</li></ul>
 1945-11-01 | 2 | `@when` outside of volume date range | <ul><li>November 1, 1945</li><li>November 1, 1945—4 p.m.</li></ul> | <ul><li>1946</li><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v01/d579</li><li>https://history.state.gov/historicaldocuments/frus1946v10/d991</li></ul>
 1945-11-17T13:00:00 | 2 | `@when` outside of volume date range | <ul><li>November 17, 1945—1 p.m.</li><li>November 17, 1945—1 p.m.</li></ul> | <ul><li>1946</li><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v11/d477</li><li>https://history.state.gov/historicaldocuments/frus1946v11/d478</li></ul>
 1945-11-19 | 2 | `@when` outside of volume date range | <ul><li>November 19, 1945</li><li>November 19, 1945—6 p.m.</li></ul> | <ul><li>1946</li><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v10/d1064</li><li>https://history.state.gov/historicaldocuments/frus1946v11/d479</li></ul>
 1945-11-29 | 2 | `@when` outside of volume date range | <ul><li>November 29, 1945</li><li>November 29, 1945—8 p.m.</li></ul> | <ul><li>1946</li><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v01/d583</li><li>https://history.state.gov/historicaldocuments/frus1946v10/d992</li></ul>
 1945-12-07 | 2 | `@when` outside of volume date range | <ul><li>December 7, 1945</li><li>December 7, 1945—1 p.m.</li></ul> | <ul><li>1946</li><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v10/d1032</li><li>https://history.state.gov/historicaldocuments/frus1946v10/d993</li></ul>
 1945-12-28 | 2 | `@when` outside of volume date range | <ul><li>December 28, 1945</li><li>December 28, 1945</li></ul> | <ul><li>1946</li><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v01/d396</li><li>https://history.state.gov/historicaldocuments/frus1946v01/d397</li></ul>
 1946-01-05T18:00:00 | 2 | `@when` outside of volume date range | <ul><li>January 5, 1946—6 p.m.</li><li>January 5, 1946—6 p.m.</li></ul> | <ul><li>1945</li><li>1945</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1945v08/d255</li><li>https://history.state.gov/historicaldocuments/frus1945v08/d1163</li></ul>
 1946-01-07 | 2 | `@when` outside of volume date range | <ul><li>January 7, 1946</li><li>January 7, 1946</li></ul> | <ul><li>1945</li><li>1945</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1945v02/d575</li><li>https://history.state.gov/historicaldocuments/frus1945v08/d165</li></ul>
 1946-01-15 | 2 | `@when` outside of volume date range | <ul><li>January 15, 1946</li><li>January 15, 1946—8 p.m.</li></ul> | <ul><li>1945</li><li>1945</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1945v09/d1034</li><li>https://history.state.gov/historicaldocuments/frus1945v04/d584</li></ul>
 1946-11-29 | 2 | `@when` outside of volume date range | <ul><li>November 29, 1946</li><li>November 29, 1946—6 p. m.</li></ul> | <ul><li>1947</li><li>1947</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1947v03/d275</li><li>https://history.state.gov/historicaldocuments/frus1947v03/d394</li></ul>
 1946-12-09 | 2 | `@when` outside of volume date range | <ul><li>9 December 1946</li><li>December 9, 1946—3:10 p.m.</li></ul> | <ul><li>1947</li><li>1947</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1947v04/d33</li><li>https://history.state.gov/historicaldocuments/frus1947v03/d540</li></ul>
 1946-12-23 | 2 | `@when` outside of volume date range | <ul><li>December 23, 1946</li><li>23 December 1946</li></ul> | <ul><li>1947</li><li>1947</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1947v03/d664</li><li>https://history.state.gov/historicaldocuments/frus1947v07/d1003</li></ul>
 1946-12-31 | 2 | `@when` outside of volume date range | <ul><li>December 31, 1946</li><li>December 31, 1946</li></ul> | <ul><li>1947</li><li>1947</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1947v02/d1</li><li>https://history.state.gov/historicaldocuments/frus1947v08/d538</li></ul>
 1947-01-04 | 2 | `@when` outside of volume date range | <ul><li>4 January 1947</li><li>4 January 1947</li></ul> | <ul><li>1946</li><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v10/d363</li><li>https://history.state.gov/historicaldocuments/frus1946v10/d364</li></ul>
 1947-01-13 | 2 | `@when` outside of volume date range | <ul><li>13 January 1947</li><li>January 13, 1947—7 p.m.</li></ul> | <ul><li>1946</li><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v10/d383</li><li>https://history.state.gov/historicaldocuments/frus1946v10/d382</li></ul>
 1947-01-17 | 2 | `@when` outside of volume date range | <ul><li>January 17, 1947</li><li>January 17, 1947—9 a.m.</li></ul> | <ul><li>1946</li><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v11/d854</li><li>https://history.state.gov/historicaldocuments/frus1946v10/d385</li></ul>
 1947-01-27 | 2 | `@when` outside of volume date range | <ul><li>27 January 1947</li><li>January 27, 1947</li></ul> | <ul><li>1946</li><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v10/d389</li><li>https://history.state.gov/historicaldocuments/frus1946v10/d1018</li></ul>
 1947-01-29 | 2 | `@when` outside of volume date range | <ul><li>January 29, 1947</li><li>January 29, 1947—10 a.m.</li></ul> | <ul><li>1946</li><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v10/d391</li><li>https://history.state.gov/historicaldocuments/frus1946v10/d390</li></ul>
 1947-03-01 | 2 | `@when` outside of volume date range | <ul><li>1 March 1947</li><li>1 March 1947</li></ul> | <ul><li>1946</li><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v10/d404</li><li>https://history.state.gov/historicaldocuments/frus1946v10/d405</li></ul>
 1947-11-26 | 2 | `@when` outside of volume date range | <ul><li>November 26, 1947</li><li>November 26, 1947—7 p. m.</li></ul> | <ul><li>1948</li><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v04/d325</li><li>https://history.state.gov/historicaldocuments/frus1948v05p1/d151</li></ul>
 1947-12-03 | 2 | `@when` outside of volume date range | <ul><li>December 3, 1947</li><li>3 December 1947.</li></ul> | <ul><li>1948</li><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v01p1/d20</li><li>https://history.state.gov/historicaldocuments/frus1948v03/d445</li></ul>
 1947-12-06T11:00:00 | 2 | `@when` outside of volume date range | <ul><li>December 6, 1947—11 a. m.</li><li>December 6, 1947—11 a. m.</li></ul> | <ul><li>1948</li><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v01p2/d125</li><li>https://history.state.gov/historicaldocuments/frus1948v03/d449</li></ul>
 1947-12-13 | 2 | `@when` outside of volume date range | <ul><li>December 13, 1947</li><li>13 December 1947.</li></ul> | <ul><li>1948</li><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v01p2/d128</li><li>https://history.state.gov/historicaldocuments/frus1948v03/d459</li></ul>
 1947-12-16 | 2 | `@when` outside of volume date range | <ul><li>December 16, 1947.</li><li>December 16, 1947—1 p. m.</li></ul> | <ul><li>1948</li><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v03/d460</li><li>https://history.state.gov/historicaldocuments/frus1948v03/d461</li></ul>
 1947-12-30T19:00:00 | 2 | `@when` outside of volume date range | <ul><li>December 30, 1947—7 p. m.</li><li>December 30, 1947—7 p. m.</li></ul> | <ul><li>1948</li><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v01p2/d130</li><li>https://history.state.gov/historicaldocuments/frus1948v03/d464</li></ul>
 1947-12-31T18:00:00 | 2 | `@when` outside of volume date range | <ul><li>December 31, 1947—6 p. m.</li><li>December 31, 1947—6 p. m.</li></ul> | <ul><li>1948</li><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v07/d1</li><li>https://history.state.gov/historicaldocuments/frus1948v07/d2</li></ul>
 1949-01-05 | 2 | `@when` outside of volume date range | <ul><li>January 5, 1949</li><li>January 5, 1949</li></ul> | <ul><li>1948</li><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v04/d324</li><li>https://history.state.gov/historicaldocuments/frus1948v04/d636</li></ul>
 1949-01-13 | 2 | `@when` outside of volume date range | <ul><li>January 13, 1949</li><li>January 13, 1949</li></ul> | <ul><li>1948</li><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v09/d101</li><li>https://history.state.gov/historicaldocuments/frus1948v09/d124</li></ul>
 1950-12-19 | 2 | `@when` outside of volume date range | <ul><li>December 19, 1950</li><li>December 19, 1950</li></ul> | <ul><li>1951</li><li>1951</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1951v02/d596</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d608</li></ul>
 1950-12-22 | 2 | `@when` outside of volume date range | <ul><li>December 22, 1950</li><li>December 22, 1950—7 p. m</li></ul> | <ul><li>1951</li><li>1951</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1951v01/d713</li><li>https://history.state.gov/historicaldocuments/frus1951v01/d464</li></ul>
 1952-01-03T15:00:00 | 2 | `@when` outside of volume date range | <ul><li>January 3, 1952—3 p. m.</li><li>January 3, 1952—3 p. m.</li></ul> | <ul><li>1951</li><li>1951</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1951v02/d540</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d541</li></ul>
 1952-01-09 | 2 | `@when` outside of volume date range | <ul><li>January 9, 1952</li><li>January 9, 1952</li></ul> | <ul><li>1951</li><li>1951</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1951v02/d358</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d491</li></ul>
 1952-01-11 | 2 | `@when` outside of volume date range | <ul><li>January 11, 1952.</li><li>January 11, 1952</li></ul> | <ul><li>1951</li><li>1951</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1951v02/d302</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d493</li></ul>
 1952-01-12 | 2 | `@when` outside of volume date range | <ul><li>January 12, 1952.</li><li>January 12, 1952—11 p. m.</li></ul> | <ul><li>1951</li><li>1951</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1951v02/d303</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d304</li></ul>
 1952-01-23T19:21:00 | 2 | `@when` outside of volume date range | <ul><li>January 23, 1952—7:21 p. m.</li><li>January 23, 1952—7:21 p. m.</li></ul> | <ul><li>1951</li><li>1951</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1951v02/d322</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d323</li></ul>
 1960-03-28 | 2 | `@when` outside of volume date range | <ul><li>March 28, 1960</li><li>March 28, 1960</li></ul> | <ul><li></li><li></li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1945Berlinv02/d1418</li><li>https://history.state.gov/historicaldocuments/frus1945Berlinv02/d1419</li></ul>
 1976-12-23 | 2 | `@when` outside of volume date range | <ul><li>December 23, 1976</li><li>December 23, 1976</li></ul> | <ul><li></li><li></li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1977-80v28/d4</li><li>https://history.state.gov/historicaldocuments/frus1977-80v28/d5</li></ul>
 1981-01-13 | 2 | `@when` outside of volume date range | <ul><li>January 13, 1981</li><li>January 13, 1981, 1602Z</li></ul> | <ul><li></li><li></li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1977-80v16/d130</li><li>https://history.state.gov/historicaldocuments/frus1977-80v20/d176</li></ul>
 2014-05-24T18:00:00 | 2 | `@when` outside of volume date range | <ul><li>May 24, 1951—6 p. m.</li><li>May 24, 1951—6 p. m.</li></ul> | <ul><li>1951</li><li>1951</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1951v06p2/d475</li><li>https://history.state.gov/historicaldocuments/frus1951v06p2/d492</li></ul>
 1045-11-29T20:00:00 | 1 | `@when` outside of volume date range | <ul><li>November 29, 1045—8 p.m.</li></ul> | <ul><li>1945</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1945v03/d466</li></ul>
 1629-05-19T16:29:00 | 1 | `@when` outside of volume date range | <ul><li>May 19, 1982, 1629Z</li></ul> | <ul><li></li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1981-88v13/d274</li></ul>
 1725-10-03T17:25:00 | 1 | `@when` outside of volume date range | <ul><li>October 3, 1725Z</li></ul> | <ul><li></li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1969-76ve11p2/d143</li></ul>
 1910-07-11 | 1 | `@when` outside of volume date range | <ul><li>July 11, 1910</li></ul> | <ul><li>1940</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1940v05/d414</li></ul>
 1910-09-25T16:00:00 | 1 | `@when` outside of volume date range | <ul><li>September 25, 1910, 4 p. m.</li></ul> | <ul><li>1915</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1915Supp/d327</li></ul>
 1914-05-05 | 1 | `@when` outside of volume date range | <ul><li>May 5,1914.</li></ul> | <ul><li>1915</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1915Supp/d1009</li></ul>
 1914-08-25 | 1 | `@when` outside of volume date range | <ul><li>August 25, 1914</li></ul> | <ul><li>1916</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1916Supp/d254</li></ul>
 1914-09-16 | 1 | `@when` outside of volume date range | <ul><li>September 16, 1914</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944Quebec/d236</li></ul>
 1914-10-09 | 1 | `@when` outside of volume date range | <ul><li>October 9, 1914.</li></ul> | <ul><li>1915</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1915Supp/d1310</li></ul>
